FlyBase_FBgn	FlyBase_FBtr	FlyBase_FBpp
FBgn0000032	FBtr0085610	FBpp0084975
FBgn0000036	FBtr0084619	FBpp0084003
FBgn0000036	FBtr0330310	FBpp0303342
FBgn0000036	FBtr0334916	FBpp0306936
FBgn0000037	FBtr0072367	FBpp0072274
FBgn0000037	FBtr0072368	FBpp0072275
FBgn0000038	FBtr0073299	FBpp0073155
FBgn0000038	FBtr0073300	FBpp0073156
FBgn0000039	FBtr0084639	FBpp0084023
FBgn0000039	FBtr0084640	FBpp0084024
FBgn0000042	FBtr0070822	FBpp0070787
FBgn0000042	FBtr0070823	FBpp0070788
FBgn0000042	FBtr0100662	FBpp0100124
FBgn0000042	FBtr0100663	FBpp0100125
FBgn0000042	FBtr0345894	FBpp0311818
FBgn0000043	FBtr0086029	FBpp0085365
FBgn0000044	FBtr0071519	FBpp0071448
FBgn0000045	FBtr0078478	FBpp0078131
FBgn0000045	FBtr0334090	FBpp0306215
FBgn0000046	FBtr0082785	FBpp0082253
FBgn0000046	FBtr0082786	FBpp0082254
FBgn0000046	FBtr0346242	FBpp0312019
FBgn0000047	FBtr0083143	FBpp0082597
FBgn0000052	FBtr0079219	FBpp0078850
FBgn0000052	FBtr0079220	FBpp0078851
FBgn0000052	FBtr0079221	FBpp0078852
FBgn0000053	FBtr0079431	FBpp0079059
FBgn0000053	FBtr0100353	FBpp0099760
FBgn0000053	FBtr0339663	FBpp0308722
FBgn0000055	FBtr0100589	FBpp0100045
FBgn0000055	FBtr0100590	FBpp0100047
FBgn0000055	FBtr0100591	FBpp0100048
FBgn0000055	FBtr0100593	FBpp0100050
FBgn0000055	FBtr0100594	FBpp0100051
FBgn0000056	FBtr0006151	FBpp0099544
FBgn0000056	FBtr0100187	FBpp0099545
FBgn0000056	FBtr0343699	FBpp0310282
FBgn0000057	FBtr0086744	FBpp0085923
FBgn0000057	FBtr0340288	FBpp0309249
FBgn0000061	FBtr0078053	FBpp0077713
FBgn0000063	FBtr0083478	FBpp0082911
FBgn0000063	FBtr0331348	FBpp0303766
FBgn0000064	FBtr0084994	FBpp0084367
FBgn0000064	FBtr0084995	FBpp0084368
FBgn0000064	FBtr0084999	FBpp0084372
FBgn0000064	FBtr0085000	FBpp0084373
FBgn0000064	FBtr0085001	FBpp0089214
FBgn0000064	FBtr0114544	FBpp0113036
FBgn0000064	FBtr0306657	FBpp0297612
FBgn0000064	FBtr0310660	FBpp0302780
FBgn0000064	FBtr0310661	FBpp0302781
FBgn0000064	FBtr0339614	FBpp0308680
FBgn0000071	FBtr0081618	FBpp0081135
FBgn0000071	FBtr0081619	FBpp0081136
FBgn0000071	FBtr0081620	FBpp0081137
FBgn0000075	FBtr0081153	FBpp0080697
FBgn0000075	FBtr0081154	FBpp0080698
FBgn0000077	FBtr0071331	FBpp0071266
FBgn0000077	FBtr0307281	FBpp0298282
FBgn0000078	FBtr0086983	FBpp0086136
FBgn0000079	FBtr0087004	FBpp0086155
FBgn0000079	FBtr0345521	FBpp0311627
FBgn0000083	FBtr0089517	FBpp0088505
FBgn0000083	FBtr0089518	FBpp0088506
FBgn0000083	FBtr0089519	FBpp0088986
FBgn0000083	FBtr0089520	FBpp0088985
FBgn0000083	FBtr0336797	FBpp0307769
FBgn0000083	FBtr0336798	FBpp0307770
FBgn0000084	FBtr0070025	FBpp0070024
FBgn0000084	FBtr0301931	FBpp0291143
FBgn0000092	FBtr0070504	FBpp0070480
FBgn0000094	FBtr0085611	FBpp0084976
FBgn0000094	FBtr0346141	FBpp0311969
FBgn0000097	FBtr0077850	FBpp0077522
FBgn0000097	FBtr0077851	FBpp0077523
FBgn0000097	FBtr0330658	FBpp0303508
FBgn0000097	FBtr0330659	FBpp0303509
FBgn0000097	FBtr0330660	FBpp0303510
FBgn0000100	FBtr0078481	FBpp0078134
FBgn0000100	FBtr0334113	FBpp0306232
FBgn0000108	FBtr0070109	FBpp0070104
FBgn0000108	FBtr0307291	FBpp0298292
FBgn0000108	FBtr0307292	FBpp0298293
FBgn0000108	FBtr0307293	FBpp0298294
FBgn0000108	FBtr0307294	FBpp0298295
FBgn0000108	FBtr0307295	FBpp0298296
FBgn0000109	FBtr0089420	FBpp0088438
FBgn0000109	FBtr0346440	FBpp0312098
FBgn0000109	FBtr0346441	FBpp0312099
FBgn0000114	FBtr0080344	FBpp0079926
FBgn0000114	FBtr0080345	FBpp0079927
FBgn0000114	FBtr0080347	FBpp0079929
FBgn0000114	FBtr0300567	FBpp0289794
FBgn0000114	FBtr0331644	FBpp0304034
FBgn0000114	FBtr0331645	FBpp0304035
FBgn0000114	FBtr0331646	FBpp0304036
FBgn0000114	FBtr0331647	FBpp0304037
FBgn0000114	FBtr0331648	FBpp0304038
FBgn0000114	FBtr0331998	FBpp0304320
FBgn0000114	FBtr0481698	FBpp0428458
FBgn0000115	FBtr0075517	FBpp0075272
FBgn0000116	FBtr0076543	FBpp0076270
FBgn0000116	FBtr0076544	FBpp0076271
FBgn0000116	FBtr0076545	FBpp0076272
FBgn0000116	FBtr0076546	FBpp0076273
FBgn0000116	FBtr0112791	FBpp0111703
FBgn0000116	FBtr0331550	FBpp0303940
FBgn0000116	FBtr0345030	FBpp0311280
FBgn0000117	FBtr0089988	FBpp0089031
FBgn0000117	FBtr0089989	FBpp0089032
FBgn0000117	FBtr0089990	FBpp0089033
FBgn0000117	FBtr0089991	FBpp0089034
FBgn0000117	FBtr0089992	FBpp0089035
FBgn0000117	FBtr0332583	FBpp0304835
FBgn0000119	FBtr0087702	FBpp0086821
FBgn0000120	FBtr0081030	FBpp0080583
FBgn0000120	FBtr0307350	FBpp0298351
FBgn0000120	FBtr0340229	FBpp0309204
FBgn0000121	FBtr0076599	FBpp0076326
FBgn0000137	FBtr0070075	FBpp0070074
FBgn0000139	FBtr0084659	FBpp0084039
FBgn0000139	FBtr0084660	FBpp0084040
FBgn0000139	FBtr0306171	FBpp0297301
FBgn0000140	FBtr0084692	FBpp0084071
FBgn0000146	FBtr0080165	FBpp0079754
FBgn0000146	FBtr0112793	FBpp0111705
FBgn0000147	FBtr0082483	FBpp0081957
FBgn0000150	FBtr0339146	FBpp0308291
FBgn0000150	FBtr0346150	FBpp0311978
FBgn0000150	FBtr0346611	FBpp0312191
FBgn0000152	FBtr0074372	FBpp0074146
FBgn0000153	FBtr0080542	FBpp0080119
FBgn0000153	FBtr0309960	FBpp0301687
FBgn0000153	FBtr0342712	FBpp0309589
FBgn0000157	FBtr0072378	FBpp0072285
FBgn0000157	FBtr0072379	FBpp0072286
FBgn0000157	FBtr0300076	FBpp0289353
FBgn0000158	FBtr0084869	FBpp0084243
FBgn0000163	FBtr0074388	FBpp0074162
FBgn0000163	FBtr0111000	FBpp0110299
FBgn0000163	FBtr0343763	FBpp0310322
FBgn0000163	FBtr0343764	FBpp0310323
FBgn0000166	FBtr0081664	FBpp0081164
FBgn0000166	FBtr0081665	FBpp0081165
FBgn0000166	FBtr0081666	FBpp0081166
FBgn0000166	FBtr0081667	FBpp0081167
FBgn0000166	FBtr0081668	FBpp0081168
FBgn0000173	FBtr0073855	FBpp0073686
FBgn0000173	FBtr0300566	FBpp0289793
FBgn0000173	FBtr0307296	FBpp0298297
FBgn0000173	FBtr0332843	FBpp0305066
FBgn0000173	FBtr0332844	FBpp0305067
FBgn0000179	FBtr0070672	FBpp0070640
FBgn0000179	FBtr0300608	FBpp0289835
FBgn0000179	FBtr0300609	FBpp0289836
FBgn0000179	FBtr0308914	FBpp0301040
FBgn0000179	FBtr0308915	FBpp0301041
FBgn0000179	FBtr0331162	FBpp0303589
FBgn0000179	FBtr0343569	FBpp0310169
FBgn0000180	FBtr0079929	FBpp0079519
FBgn0000180	FBtr0329984	FBpp0303019
FBgn0000181	FBtr0087782	FBpp0086895
FBgn0000181	FBtr0087783	FBpp0086896
FBgn0000182	FBtr0080803	FBpp0080361
FBgn0000182	FBtr0080804	FBpp0080362
FBgn0000182	FBtr0080805	FBpp0080363
FBgn0000183	FBtr0081002	FBpp0080555
FBgn0000183	FBtr0305688	FBpp0296968
FBgn0000183	FBtr0330225	FBpp0303258
FBgn0000183	FBtr0330226	FBpp0303259
FBgn0000206	FBtr0084949	FBpp0084323
FBgn0000212	FBtr0075523	FBpp0075278
FBgn0000212	FBtr0075524	FBpp0075279
FBgn0000212	FBtr0075525	FBpp0075280
FBgn0000212	FBtr0075526	FBpp0075281
FBgn0000212	FBtr0330160	FBpp0303193
FBgn0000212	FBtr0333580	FBpp0305757
FBgn0000216	FBtr0075621	FBpp0075374
FBgn0000221	FBtr0070638	FBpp0070606
FBgn0000227	FBtr0077423	FBpp0077114
FBgn0000228	FBtr0079084	FBpp0078718
FBgn0000228	FBtr0079085	FBpp0078719
FBgn0000228	FBtr0302567	FBpp0291723
FBgn0000228	FBtr0302568	FBpp0291724
FBgn0000228	FBtr0310624	FBpp0302744
FBgn0000228	FBtr0310625	FBpp0302745
FBgn0000228	FBtr0342939	FBpp0309716
FBgn0000229	FBtr0080087	FBpp0079676
FBgn0000229	FBtr0300982	FBpp0290204
FBgn0000229	FBtr0302378	FBpp0291573
FBgn0000233	FBtr0071379	FBpp0071314
FBgn0000239	FBtr0301342	FBpp0290556
FBgn0000239	FBtr0343875	FBpp0310411
FBgn0000241	FBtr0072117	FBpp0072026
FBgn0000241	FBtr0346612	FBpp0312192
FBgn0000244	FBtr0082119	FBpp0081597
FBgn0000244	FBtr0301093	FBpp0290315
FBgn0000244	FBtr0302382	FBpp0291577
FBgn0000246	FBtr0083194	FBpp0082648
FBgn0000246	FBtr0083195	FBpp0082649
FBgn0000246	FBtr0083196	FBpp0082650
FBgn0000247	FBtr0085484	FBpp0084850
FBgn0000247	FBtr0346613	FBpp0312193
FBgn0000250	FBtr0080844	FBpp0080402
FBgn0000250	FBtr0080845	FBpp0080403
FBgn0000250	FBtr0080846	FBpp0080404
FBgn0000250	FBtr0080847	FBpp0089296
FBgn0000250	FBtr0337081	FBpp0308004
FBgn0000251	FBtr0081412	FBpp0080942
FBgn0000251	FBtr0081413	FBpp0089336
FBgn0000251	FBtr0335152	FBpp0307151
FBgn0000253	FBtr0088001	FBpp0087109
FBgn0000253	FBtr0088002	FBpp0087110
FBgn0000253	FBtr0304963	FBpp0293502
FBgn0000253	FBtr0304964	FBpp0293503
FBgn0000253	FBtr0345018	FBpp0311269
FBgn0000256	FBtr0077511	FBpp0077200
FBgn0000256	FBtr0077512	FBpp0077201
FBgn0000256	FBtr0077513	FBpp0077202
FBgn0000256	FBtr0290077	FBpp0288516
FBgn0000256	FBtr0290078	FBpp0288517
FBgn0000256	FBtr0290079	FBpp0288518
FBgn0000256	FBtr0290080	FBpp0288519
FBgn0000256	FBtr0290081	FBpp0288520
FBgn0000256	FBtr0290082	FBpp0288521
FBgn0000257	FBtr0074727	FBpp0074496
FBgn0000257	FBtr0074728	FBpp0074497
FBgn0000257	FBtr0331158	FBpp0303585
FBgn0000259	FBtr0073558	FBpp0073403
FBgn0000259	FBtr0073560	FBpp0073405
FBgn0000259	FBtr0073561	FBpp0073406
FBgn0000259	FBtr0073562	FBpp0089135
FBgn0000259	FBtr0100540	FBpp0099985
FBgn0000259	FBtr0299569	FBpp0288844
FBgn0000259	FBtr0307896	FBpp0300330
FBgn0000259	FBtr0308084	FBpp0300427
FBgn0000259	FBtr0308085	FBpp0300428
FBgn0000259	FBtr0333204	FBpp0305406
FBgn0000261	FBtr0075058	FBpp0074825
FBgn0000273	FBtr0079851	FBpp0079448
FBgn0000273	FBtr0079852	FBpp0089382
FBgn0000273	FBtr0335495	FBpp0307466
FBgn0000274	FBtr0085727	FBpp0085089
FBgn0000274	FBtr0335454	FBpp0307432
FBgn0000276	FBtr0085612	FBpp0084977
FBgn0000277	FBtr0085614	FBpp0084978
FBgn0000278	FBtr0085640	FBpp0085002
FBgn0000279	FBtr0085616	FBpp0084980
FBgn0000280	FBtr0085613	
FBgn0000281	FBtr0089614	
FBgn0000283	FBtr0083126	FBpp0082580
FBgn0000283	FBtr0083127	FBpp0082581
FBgn0000286	FBtr0089647	FBpp0088590
FBgn0000286	FBtr0089648	FBpp0088591
FBgn0000286	FBtr0089649	FBpp0088592
FBgn0000286	FBtr0304887	FBpp0293426
FBgn0000286	FBtr0336835	FBpp0307799
FBgn0000286	FBtr0472669	FBpp0422630
FBgn0000287	FBtr0080235	FBpp0079822
FBgn0000287	FBtr0080236	FBpp0079823
FBgn0000287	FBtr0307093	FBpp0297936
FBgn0000289	FBtr0087526	FBpp0086655
FBgn0000289	FBtr0087527	FBpp0086656
FBgn0000289	FBtr0087528	FBpp0086657
FBgn0000289	FBtr0087529	FBpp0086658
FBgn0000289	FBtr0112795	FBpp0111707
FBgn0000289	FBtr0290034	FBpp0288473
FBgn0000289	FBtr0290035	FBpp0288474
FBgn0000289	FBtr0339960	FBpp0308982
FBgn0000289	FBtr0339961	FBpp0308983
FBgn0000289	FBtr0339962	FBpp0308984
FBgn0000289	FBtr0346946	FBpp0312412
FBgn0000299	FBtr0079001	FBpp0078640
FBgn0000299	FBtr0079002	FBpp0078641
FBgn0000299	FBtr0079003	FBpp0078642
FBgn0000303	FBtr0089367	FBpp0088397
FBgn0000303	FBtr0089368	FBpp0088977
FBgn0000307	FBtr0080838	FBpp0080396
FBgn0000307	FBtr0080839	FBpp0080397
FBgn0000307	FBtr0321313	FBpp0302856
FBgn0000307	FBtr0475053	FBpp0423267
FBgn0000308	FBtr0079233	FBpp0078864
FBgn0000308	FBtr0079234	FBpp0078865
FBgn0000308	FBtr0079235	FBpp0078866
FBgn0000308	FBtr0079236	FBpp0089196
FBgn0000308	FBtr0309212	FBpp0301151
FBgn0000308	FBtr0309213	FBpp0301152
FBgn0000316	FBtr0070064	FBpp0070063
FBgn0000316	FBtr0070065	FBpp0070064
FBgn0000317	FBtr0080723	FBpp0080282
FBgn0000317	FBtr0080724	FBpp0080283
FBgn0000317	FBtr0343686	FBpp0310274
FBgn0000317	FBtr0343687	FBpp0310275
FBgn0000318	FBtr0079095	FBpp0078728
FBgn0000318	FBtr0329967	FBpp0303002
FBgn0000318	FBtr0329968	FBpp0303003
FBgn0000319	FBtr0074179	FBpp0073966
FBgn0000319	FBtr0074180	FBpp0073967
FBgn0000319	FBtr0074181	FBpp0089397
FBgn0000319	FBtr0074182	FBpp0089398
FBgn0000319	FBtr0112797	FBpp0111709
FBgn0000319	FBtr0112798	FBpp0111710
FBgn0000319	FBtr0339445	FBpp0308531
FBgn0000320	FBtr0079334	FBpp0078963
FBgn0000320	FBtr0079335	FBpp0078964
FBgn0000320	FBtr0306113	FBpp0297250
FBgn0000326	FBtr0071687	FBpp0071604
FBgn0000330	FBtr0071033	FBpp0070992
FBgn0000330	FBtr0332315	FBpp0304594
FBgn0000337	FBtr0344723	FBpp0311059
FBgn0000339	FBtr0080848	FBpp0080405
FBgn0000339	FBtr0080849	FBpp0080406
FBgn0000339	FBtr0337082	FBpp0308005
FBgn0000346	FBtr0073754	FBpp0073585
FBgn0000346	FBtr0333329	FBpp0305521
FBgn0000351	FBtr0079320	FBpp0078949
FBgn0000351	FBtr0333350	FBpp0305542
FBgn0000352	FBtr0089015	FBpp0088087
FBgn0000352	FBtr0336916	FBpp0307854
FBgn0000355	FBtr0076572	FBpp0076299
FBgn0000356	FBtr0076574	FBpp0076301
FBgn0000357	FBtr0076571	FBpp0076298
FBgn0000358	FBtr0076573	FBpp0076300
FBgn0000359	FBtr0071203	FBpp0071150
FBgn0000360	FBtr0071204	FBpp0071151
FBgn0000360	FBtr0300448	FBpp0289676
FBgn0000370	FBtr0081512	FBpp0081040
FBgn0000370	FBtr0081513	FBpp0081041
FBgn0000370	FBtr0332001	FBpp0304323
FBgn0000370	FBtr0332002	FBpp0304324
FBgn0000376	FBtr0070495	FBpp0070472
FBgn0000376	FBtr0070496	FBpp0070473
FBgn0000377	FBtr0070418	FBpp0070402
FBgn0000382	FBtr0070378	FBpp0070362
FBgn0000382	FBtr0070379	FBpp0070363
FBgn0000382	FBtr0070380	FBpp0070364
FBgn0000382	FBtr0333260	FBpp0305458
FBgn0000384	FBtr0111126	FBpp0110418
FBgn0000384	FBtr0334157	FBpp0306274
FBgn0000392	FBtr0290322	FBpp0288761
FBgn0000392	FBtr0346452	FBpp0312102
FBgn0000394	FBtr0070804	FBpp0070770
FBgn0000394	FBtr0340464	FBpp0309406
FBgn0000394	FBtr0340465	FBpp0309407
FBgn0000395	FBtr0071610	FBpp0071536
FBgn0000404	FBtr0076075	FBpp0075807
FBgn0000404	FBtr0304650	FBpp0293192
FBgn0000405	FBtr0071911	FBpp0071822
FBgn0000405	FBtr0071913	FBpp0071824
FBgn0000405	FBtr0071914	FBpp0071825
FBgn0000405	FBtr0309858	FBpp0301592
FBgn0000406	FBtr0080932	FBpp0080486
FBgn0000406	FBtr0331931	FBpp0304264
FBgn0000411	FBtr0075746	FBpp0075488
FBgn0000411	FBtr0333034	FBpp0305248
FBgn0000411	FBtr0333035	FBpp0305249
FBgn0000411	FBtr0333036	FBpp0305250
FBgn0000412	FBtr0081987	FBpp0081467
FBgn0000412	FBtr0081988	FBpp0081468
FBgn0000412	FBtr0301524	FBpp0290739
FBgn0000414	FBtr0075318	FBpp0075077
FBgn0000414	FBtr0305084	FBpp0293621
FBgn0000414	FBtr0305085	FBpp0293622
FBgn0000414	FBtr0305086	FBpp0293623
FBgn0000414	FBtr0330189	FBpp0303222
FBgn0000414	FBtr0330190	FBpp0303223
FBgn0000414	FBtr0333625	FBpp0305800
FBgn0000414	FBtr0333626	FBpp0305801
FBgn0000416	FBtr0085713	FBpp0085075
FBgn0000416	FBtr0085714	FBpp0085076
FBgn0000422	FBtr0081166	FBpp0080709
FBgn0000422	FBtr0081167	FBpp0080710
FBgn0000422	FBtr0290291	FBpp0288730
FBgn0000426	FBtr0088010	FBpp0087118
FBgn0000427	FBtr0071145	FBpp0071097
FBgn0000427	FBtr0071146	FBpp0071098
FBgn0000427	FBtr0071147	FBpp0071099
FBgn0000427	FBtr0309795	FBpp0301548
FBgn0000427	FBtr0309796	FBpp0301549
FBgn0000427	FBtr0310269	FBpp0301952
FBgn0000439	FBtr0081621	FBpp0081138
FBgn0000442	FBtr0078042	FBpp0077706
FBgn0000447	FBtr0081890	FBpp0081376
FBgn0000447	FBtr0300442	FBpp0289671
FBgn0000448	FBtr0088366	FBpp0087454
FBgn0000448	FBtr0088368	FBpp0087456
FBgn0000448	FBtr0112799	FBpp0111711
FBgn0000448	FBtr0306345	FBpp0297438
FBgn0000448	FBtr0330609	FBpp0303459
FBgn0000448	FBtr0452140	FBpp0402891
FBgn0000449	FBtr0073205	FBpp0073061
FBgn0000451	FBtr0076305	FBpp0076034
FBgn0000451	FBtr0076307	FBpp0076036
FBgn0000451	FBtr0301385	FBpp0290599
FBgn0000451	FBtr0331551	FBpp0303941
FBgn0000451	FBtr0339899	FBpp0308931
FBgn0000454	FBtr0082831	FBpp0082299
FBgn0000454	FBtr0082832	FBpp0082300
FBgn0000454	FBtr0082833	FBpp0082301
FBgn0000454	FBtr0345229	FBpp0311421
FBgn0000455	FBtr0082597	FBpp0082069
FBgn0000455	FBtr0344982	FBpp0311237
FBgn0000459	FBtr0074250	FBpp0074028
FBgn0000459	FBtr0100384	FBpp0099796
FBgn0000463	FBtr0083739	FBpp0083153
FBgn0000463	FBtr0083740	FBpp0083154
FBgn0000463	FBtr0304658	FBpp0293200
FBgn0000464	FBtr0081260	FBpp0080801
FBgn0000464	FBtr0112800	FBpp0111712
FBgn0000464	FBtr0305950	FBpp0297092
FBgn0000464	FBtr0331239	FBpp0303681
FBgn0000464	FBtr0331240	FBpp0303682
FBgn0000464	FBtr0331241	FBpp0303683
FBgn0000464	FBtr0331242	FBpp0303684
FBgn0000477	FBtr0083538	FBpp0082962
FBgn0000479	FBtr0070509	FBpp0070485
FBgn0000479	FBtr0070511	FBpp0070487
FBgn0000479	FBtr0070512	FBpp0070488
FBgn0000479	FBtr0070513	FBpp0070489
FBgn0000479	FBtr0070515	FBpp0070491
FBgn0000479	FBtr0070517	FBpp0070493
FBgn0000479	FBtr0070518	FBpp0070494
FBgn0000479	FBtr0070519	FBpp0070495
FBgn0000479	FBtr0070520	FBpp0070496
FBgn0000479	FBtr0070521	FBpp0070497
FBgn0000479	FBtr0070522	FBpp0070498
FBgn0000479	FBtr0333312	FBpp0305504
FBgn0000479	FBtr0333313	FBpp0305505
FBgn0000479	FBtr0333314	FBpp0305506
FBgn0000479	FBtr0333315	FBpp0305507
FBgn0000479	FBtr0333316	FBpp0305508
FBgn0000479	FBtr0333317	FBpp0305509
FBgn0000482	FBtr0070269	FBpp0070259
FBgn0000489	FBtr0075528	FBpp0075283
FBgn0000489	FBtr0075529	FBpp0075284
FBgn0000490	FBtr0077771	FBpp0077451
FBgn0000490	FBtr0077772	FBpp0077452
FBgn0000490	FBtr0077773	FBpp0077453
FBgn0000490	FBtr0077775	FBpp0077455
FBgn0000492	FBtr0085441	FBpp0084807
FBgn0000499	FBtr0073454	FBpp0073310
FBgn0000500	FBtr0078989	FBpp0078628
FBgn0000504	FBtr0081759	FBpp0081256
FBgn0000504	FBtr0081760	FBpp0081257
FBgn0000504	FBtr0081761	FBpp0081258
FBgn0000504	FBtr0330073	FBpp0303106
FBgn0000504	FBtr0330074	FBpp0303107
FBgn0000504	FBtr0339710	FBpp0308767
FBgn0000504	FBtr0482170	FBpp0428501
FBgn0000520	FBtr0070487	FBpp0070465
FBgn0000524	FBtr0070914	FBpp0070876
FBgn0000527	FBtr0084106	FBpp0083505
FBgn0000529	FBtr0089320	FBpp0088920
FBgn0000529	FBtr0343855	FBpp0310398
FBgn0000533	FBtr0083083	FBpp0082539
FBgn0000533	FBtr0334588	FBpp0306655
FBgn0000535	FBtr0073955	FBpp0073772
FBgn0000535	FBtr0111009	FBpp0110308
FBgn0000535	FBtr0303285	FBpp0292377
FBgn0000535	FBtr0303286	FBpp0292378
FBgn0000535	FBtr0310014	FBpp0301717
FBgn0000535	FBtr0310015	FBpp0301718
FBgn0000535	FBtr0310016	FBpp0301719
FBgn0000536	FBtr0074211	FBpp0073990
FBgn0000536	FBtr0074212	FBpp0073991
FBgn0000536	FBtr0074214	FBpp0073993
FBgn0000536	FBtr0308617	FBpp0300841
FBgn0000536	FBtr0308618	FBpp0300842
FBgn0000536	FBtr0308619	FBpp0300843
FBgn0000536	FBtr0343519	FBpp0310123
FBgn0000536	FBtr0343520	FBpp0310124
FBgn0000541	FBtr0072521	FBpp0072421
FBgn0000541	FBtr0072522	FBpp0072422
FBgn0000541	FBtr0072523	FBpp0089425
FBgn0000541	FBtr0301348	FBpp0290562
FBgn0000541	FBtr0301349	FBpp0290563
FBgn0000541	FBtr0332101	FBpp0304411
FBgn0000541	FBtr0332102	FBpp0304412
FBgn0000541	FBtr0332103	FBpp0304413
FBgn0000541	FBtr0332104	FBpp0304414
FBgn0000542	FBtr0070606	FBpp0100019
FBgn0000542	FBtr0112801	FBpp0111713
FBgn0000542	FBtr0112802	FBpp0111714
FBgn0000543	FBtr0072903	FBpp0072781
FBgn0000546	FBtr0086008	FBpp0085349
FBgn0000546	FBtr0086009	FBpp0085350
FBgn0000546	FBtr0086010	FBpp0085351
FBgn0000546	FBtr0086011	FBpp0085352
FBgn0000546	FBtr0086012	FBpp0085353
FBgn0000546	FBtr0302439	FBpp0291631
FBgn0000547	FBtr0077465	FBpp0077154
FBgn0000547	FBtr0334265	FBpp0306381
FBgn0000547	FBtr0334266	FBpp0306382
FBgn0000551	FBtr0078408	FBpp0078062
FBgn0000551	FBtr0344634	FBpp0310951
FBgn0000552	FBtr0081688	FBpp0081186
FBgn0000557	FBtr0085832	FBpp0085193
FBgn0000557	FBtr0085833	FBpp0085194
FBgn0000557	FBtr0085834	FBpp0089103
FBgn0000557	FBtr0085835	FBpp0089104
FBgn0000559	FBtr0085911	FBpp0085265
FBgn0000559	FBtr0085912	FBpp0085266
FBgn0000559	FBtr0332966	FBpp0305182
FBgn0000560	FBtr0078437	FBpp0078091
FBgn0000560	FBtr0078438	FBpp0078092
FBgn0000560	FBtr0332810	FBpp0305033
FBgn0000562	FBtr0114586	FBpp0113078
FBgn0000562	FBtr0343272	FBpp0309937
FBgn0000564	FBtr0083444	FBpp0082885
FBgn0000564	FBtr0334930	FBpp0306950
FBgn0000565	FBtr0075552	FBpp0075307
FBgn0000565	FBtr0075553	FBpp0075308
FBgn0000565	FBtr0075554	FBpp0075309
FBgn0000565	FBtr0303531	FBpp0292565
FBgn0000565	FBtr0330176	FBpp0303209
FBgn0000565	FBtr0330177	FBpp0303210
FBgn0000566	FBtr0086710	FBpp0085889
FBgn0000566	FBtr0345422	FBpp0311547
FBgn0000567	FBtr0075202	FBpp0074965
FBgn0000567	FBtr0075203	FBpp0074966
FBgn0000567	FBtr0075204	FBpp0074967
FBgn0000567	FBtr0100411	FBpp0099825
FBgn0000567	FBtr0305796	FBpp0297063
FBgn0000568	FBtr0075148	FBpp0074914
FBgn0000568	FBtr0075149	FBpp0074915
FBgn0000568	FBtr0075150	FBpp0074916
FBgn0000568	FBtr0075151	FBpp0074917
FBgn0000568	FBtr0306813	FBpp0297725
FBgn0000568	FBtr0306814	FBpp0297726
FBgn0000568	FBtr0347013	FBpp0312446
FBgn0000575	FBtr0072578	FBpp0072477
FBgn0000576	FBtr0082863	FBpp0082326
FBgn0000577	FBtr0088095	FBpp0087197
